mus_vis_2015;nights_2015;beds_2015;stud_high_edu_2015;low_edu_2015;mid_edu_2015;high_edu_2015;prop_workers_mid_edu;prop_pop_high_edu;private_house_2015;pop_private_house_2015;one_pers_house_2015;n_house_2015;housholds_living;households_owning;av_size_house;pop;pop_male;pop_fem;pop_04;pop_over75;total_employment;unemployment_rate
20.642.890;24.809.334;183.762;231.712;368.266;673.953;415.766;46,1;28,5;1.356.441;2.838.960;459.366;1.259.649;1.159.402;809.937;2,1;2.872.021;1.362.103;1.509.918;127.470;317.916;957.602;9,5
4.645.569;11.741.374;62.392;177.546;173.798;278.183;224.256;41,4;33,3;725.689;1.336.152;276.772;643.053;614.365;391.836;1,8;1.337.155;637.205;699.950;58.853;171.211;811.214;6,9
3.001.922;2.908.633;13.909;:;:;:;:;45,1;21,2;373.090;970.799;89.642;361.966;349.137;186.402;2,6;4.061.382;1.967.861;2.093.521;185.288;447.395;1.685.308;7
3.436.064;3.454.869;21.117;123.294;256.466;167.577;95.601;32,2;18,3;438.689;882.037;168.982;448.678;415.414;272.871;2;978.399;466.330;512.069;44.608;85.741;234.507;27,8
455.061;1.427.388;10.503;:;:;:;:;33,9;14,2;259.733;671.194;61.020;285.701;245.241;148.586;2,6;3.118.149;1.509.740;1.608.409;153.977;224.820;573.009;26,2
921.783;1.652.405;10.669;88.090;168.317;198.371;109.314;41,3;22,8;294.750;581.033;117.614;309.700;284.370;203.242;2;896.773;426.492;470.281;37.749;121.083;322.892;9,8
14.354.226;9.106.500;45.305;42.331;164.839;130.195;65.965;35,9;18,2;188.948;379.101;73.065;171.443;171.378;118.325;2;678.492;324.162;354.330;31.933;60.175;125.857;25
160.910;629.502;6.103;29.724;98.726;141.897;68.296;45,4;21,8;136.266;324.675;32.874;140.982;123.709;84.671;2,4;592.507;278.225;314.282;21.663;90.321;207.747;7,9
1.085.915;2.177.383;17.485;49.823;54.145;79.395;59.627;41,1;30,9;205.199;382.799;91.387;206.689;192.573;118.999;1,9;381.037;178.214;202.823;15.116;54.161;160.035;6,8
220.167;905.834;6.656;51.555;72.887;63.330;38.226;36;21,7;136.177;311.983;36.461;144.804;117.066;77.347;2,3;327.361;156.793;170.568;12.654;36.206;94.352;15,8
4.661.292;10.182.829;50.513;59.336;49.552;83.399;70.687;40,8;34,6;128.860;261.097;49.143;133.311;123.169;86.492;2;386.181;181.417;204.764;15.752;55.986;152.730;7
1.712.497;1.762.637;13.316;45.066;75.582;53.904;27.598;34;17,4;122.686;255.479;44.918;121.842;114.876;72.932;2,1;315.601;151.531;164.070;14.705;32.289;77.796;27,3
72.621;132.837;1.190;23.797;48.201;58.431;31.333;41,7;22,4;33.682;71.120;12.126;40.099;32.309;20.814;2,1;264.579;124.851;139.728;9.554;37.957;115.045;6,9
1.029.514;839.481;5.539;19.781;41.284;61.564;32.504;44,8;23,7;52.996;115.330;18.422;58.190;50.069;31.976;2,2;260.125;122.984;137.141;10.543;34.209;100.270;6,7
1.419.027;780.275;7.686;1.374;11.039;17.823;8.530;47;22,5;105.542;201.912;45.208;111.969;101.519;71.842;1,9;71.657;33.836;37.821;2.852;10.079;24.096;7,4
393.917;937.851;9.590;16.286;17.084;28.480;16.921;45,3;26,9;72.982;165.186;23.739;73.911;68.349;49.923;2,3;117.304;56.085;61.219;5.330;12.669;46.290;5,9
53.197;476.750;4.402;14.237;34.515;47.233;24.782;43,7;22,9;46.494;100.482;15.829;48.512;44.423;31.701;2,2;205.413;97.306;108.107;7.449;30.733;54.716;9,3
38.038;184.920;2.273;21.065;26.574;37.138;25.087;41,8;28,2;54.858;120.659;16.100;59.883;49.187;35.427;2,2;165.668;78.671;86.997;7.137;20.232;52.761;9,8
